Title,Title,doi,BD_EPO,BD_Measure,NbS Intervention Type,birds,mammals,fish,amphibians,reptiles,worms ,phytoplankton and zooplankton,mollusca,other macroinvertebrates,nondesc_verts,crustacea,insects,fungi,rotifers,bacteria,Ter_Veg,Aqu_Veg,habitat/ecosystem  diversity,habitat-taxaconnect,habitatWB,habitatspecieslink,R_T,BD_Measure,baseline_compBD,water storage/retention,connectivity/conveyance capacity,drainage,groundwater recharge,flood impacts,streamflow speed,run off/erosion reduction,water quality,FM type_qual,FM type_quan,baseline_compFM,Country,Continent,Continentref,Scale,Scaleref,Scale2,BDFM relationship measured,NbSref,NbSreduce,NbS Intervention Type,timesinceint,int2,surveyrepeats,monitorType,R_T,surveyrepeatsOG
Valuation of the environmental benefits induced by a constructed wetland,Valuation of the environmental benefits induced by a constructed wetland,10.1007/s11273-021-09811-x,Y,N,Constructed Wetlands & Lake Reconstruction,species abundance,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,single species abundance,NA,NA,single species abundance,"species abundance, species composition",species abundance,ecosystem/habitat diversity,"Y - within habitat diversity of cover types, linked to taxa indicator species",within and between,Y,Treatment(NS),N,some,NA,NA,NA,NA,NA,quantitative,quantitative,quantitative,NA,"flowvelocity, runoff and erosion",some,France,Europe,A,meso-macro,b,Meso,Positive,GG,Constructed Wetlands & Lake Reconstruction,Constructed Wetlands & Lake Reconstruction,>1 decade,d,repeated ,pre-post,Treatment(NS),repeated 
Mitigating Polluted Runoff from Industrial Estates by SUDS Retrofits: Case Studies of Problems and Solutions Co-Designed with a Participatory Approach,Mitigating Polluted Runoff from Industrial Estates by SUDS Retrofits: Case Studies of Problems and Solutions Co-Designed with a Participatory Approach,10.3390/su132212357,N,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N - assumed biodiversity comes with blue-green infrastructure treatment,NA,NA,Treatment(NS),N,NA,quantitative,qualitative,quantitative,qualitative,quantitative,qualitative,quantitative,quantitative,"conveyance, groundwater, flowvelocity","water storage, drainage, floodimpact, runoff and erosion",NA,Scotland,Europe,A,meso-macro,b,Meso,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,NA,No cf,Treatment(NS),Unclear
The impact of agricultural land afforestation on soil water content in Central Bohemia,The impact of agricultural land afforestation on soil water content in Central Bohemia,10.17221/108/2021-JFS,Y,N,Forest afforestation,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species composition no baseline,NA,NA,,NA,NA,Treatment(NS),N,NA,quantitative,NA,NA,NA,NA,NA,NA,NA,NA,water storage,some,Czech Republic,Europe,A,meso-macro,b,Meso,Negative,FF,Afforestation,Forest afforestation,years,c,repeated ,Spatial cf,Treatment(NS),repeated 
Top soil removal reduces water pollution from phosphorus and dissolved organic matter and lowers methane emissions from rewetted peatlands,Top soil removal reduces water pollution from phosphorus and dissolved organic matter and lowers methane emissions from rewetted peatlands,10.1111/1365-2664.12931,N,N,Wetland Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,within,NA,Treatment(NS),N,NA,NA,NA,NA,quantitative,NA,NA,NA,quantitative,NA,groundwater,NA,Germany,Europe,A,meso-macro,b,Meso,NA,DD,Wetland Restoration,Wetland Restoration,z,a,NA,No cf,Treatment(NS),Unclear
Towards urban resilience through Sustainable Drainage Systems: A multi-objective optimisation problem,Towards urban resilience through Sustainable Drainage Systems: A multi-objective optimisation problem,10.1016/j.jenvman.2020.111173,Y,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Treatment(NS),N,NA,NA,NA,NA,NA,quantitative,NA,NA,quantitative,NA,floodimpact,NA,Brazil,South America,D,meso-macro,b,Meso,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,NA,No cf,Treatment(NS),NA
"Concept and Practices Involved in Comprehensive River Control Based on the Synergy among Flood Control, Ecological Restoration, and Urban Development: A Case Study on a Valley Reach of Luanhe River in a Semiarid Region in North China","Concept and Practices Involved in Comprehensive River Control Based on the Synergy among Flood Control, Ecological Restoration, and Urban Development: A Case Study on a Valley Reach of Luanhe River in a Semiarid Region in North China",10.3390/w14091413,N,N,River Restoration,Unclear,NA,Unclear,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unclear,Unclear,unclear,not enough details about habitat,NA,NA,Treatment(NS),N,Unclear,qualitative,quantitative,quantitative,quantitative,quantitative,quantitative,quantitative,quantitative,water storage,"conveyance, drainage, groundwater, floodimpact, flowvelocity, runoff and erosion",some,China,Asia,B,meso-macro,b,Meso,NA,EE,River Restoration,River Restoration,z,a,NA,No cf,Treatment(NS),Unclear
Evaluating the effectiveness of catchment-scale approaches in mitigating urban surface water flooding,Evaluating the effectiveness of catchment-scale approaches in mitigating urban surface water flooding,10.1098/rsta.2019.0203,N,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Treatment(NS/ modelled),N,NA,quantitative,NA,quantitative,qualitative,quantitative,quantitative,quantitative,NA,groundwater,"water storage, drainage, floodimpact, flowvelocity, runoff and erosion",some,England,Europe,A,meso-macro,b,Meso,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,NA,Spatial cf/No cf,Treatment(NS/ modelled),NA
"Impact of natural reforestation on floodplain sedimentation in the Dragonja basin, SW Slovenia","Impact of natural reforestation on floodplain sedimentation in the Dragonja basin, SW Slovenia",10.1002/esp.1360,N,N,Floodplain restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,community composition ,community composition ,ecosystem/habitat diversity,Y - within H and linked to taxa (taxa only linked to one habitat within the floodplain habitat),within,Y,Treatment(S),N,NA,NA,NA,NA,NA,quantitative,quantitative,quantitative,NA,NA,"floodimpact, flowvelocity, runoff and erosion",some,Slovenia,Europe,A,meso-macro,b,Meso,Neutral,CC,Floodplain restoration,Floodplain restoration,>6 decades,f,NA,No cf,Treatment(S),Unclear
"Land-use impacts on the quantity and configuration of ecosystem service provisioning in Massachusetts, USA","Land-use impacts on the quantity and configuration of ecosystem service provisioning in Massachusetts, USA",10.1111/1365-2664.12444,N,N,Ecosystem Protection,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,"N- general terrestrial species habitat, not specific enough to a taxa",within,NA,Treatment(S),N,NA,quantitative,NA,NA,NA,NA,NA,quantitative,quantitative,NA,"water storage, runoff and erosion",some,USA,North America,C,meso-macro,b,Meso,Unclear,II,Ecosystem Protection,Ecosystem Protection,z,a,NA,Temporal cf (post-post),Treatment(S),once 
Quantitative calculation and optimized applications of ecological flow based on nature-based solutions,Quantitative calculation and optimized applications of ecological flow based on nature-based solutions,10.1016/j.jhydrol.2021.126216,Y,N,River Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,Y - within -habitat complexity and suitability for specific indicator fish and vegetation,within,Y,Treatment(S),N,NA,NA,qualitative,NA,quantitative,NA,quantitative,NA,qualitative,conveyance,"groundwater, flowvelocity",some,China,Asia,B,meso-macro,b,Meso,Unclear,EE,River Restoration,River Restoration,years,c,NA,Spatial cf?,Treatment(S),Unclear
An Analysis of Stormwater Management Variants in Urban Catchments,An Analysis of Stormwater Management Variants in Urban Catchments,10.3390/resources9020019,N,N,Green roofs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Response(NS),N,NA,quantitative,NA,quantitative,qualitative,quantitative,quantitative,quantitative,NA,groundwater,"water storage, drainage, floodimpact, flowvelocity, runoff and erosion",some,Poland,Europe,A,micro-meso,a,Micro,NA,BB,Green roofs,Green roofs,z,a,NA,No cf,Response(NS),once 
Island topographies to reduce short-circuiting in stormwater detention ponds and treatment wetlands,Island topographies to reduce short-circuiting in stormwater detention ponds and treatment wetlands,10.1016/j.ecoleng.2018.02.020,Y,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,"Y - actual equation for within H,  but no link to taxa, good example of spatial cf for habitat only",within,NA,Treatment(NS),N,some,quantitative,quantitative,NA,NA,NA,quantitative,NA,quantitative,NA,"water storage, conveyance, flowvelocity",NA,England,Europe,A,micro-meso,a,Micro,Positive,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,repeated ,Spatial cf,Treatment(NS),repeated 
"Green roof ecosystem services in various urban development types: A case study in Graz, Austria","Green roof ecosystem services in various urban development types: A case study in Graz, Austria",10.1016/j.ufug.2021.127167,Y,N,Green roofs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,didn't really measure the diversity,NA,NA,Treatment(NS),N,Unclear,quantitative,NA,NA,NA,qualitative,NA,qualitative,qualitative,"floodimpact, runoff and erosion",water storage,some,Austria,Europe,A,micro-meso,a,Micro,NA,BB,Green roofs,Green roofs,z,a,NA,No cf,Treatment(NS),NA
Multilayer blue-green roofs as nature-based solutions for water and thermal insulation management,Multilayer blue-green roofs as nature-based solutions for water and thermal insulation management,10.2166/nh.2022.201,Y,N,Green roofs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Treatment(NS),N,NA,quantitative,NA,qualitative,qualitative,quantitative,quantitative,quantitative,qualitative,"drainage, groundwater","water storage, floodimpact, flowvelocity",some,Italy,Europe,A,micro-meso,a,Micro,NA,BB,Green roofs,Green roofs,months,b,NA,No cf,Treatment(NS),Unclear
"Scalable Green InfrastructureThe Case of Domestic Private Gardens in Vuores, Finland","Scalable Green InfrastructureThe Case of Domestic Private Gardens in Vuores, Finland",10.3390/su10124571,N,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Treatment(NS),N,NA,quantitative,qualitative,qualitative,qualitative,qualitative,qualitative,qualitative,qualitative,"conveyance, drainage, groundwater, floodimpact, runoff and erosion","water storage, flowvelocity",NA,Finland,Europe,A,micro-meso,a,Micro,NA,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,z,a,NA,Spatial cf,Treatment(NS),NA
Achieving Successful River Restoration in Dense Urban Areas: Lessons from Taiwan,Achieving Successful River Restoration in Dense Urban Areas: Lessons from Taiwan,10.3390/su8111159,N,N,River Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,community composition no baseline,NA,Unclear,N - mentions pool riffle sequence habitats but no measures,NA,NA,Treatment(NS),N,NA,NA,NA,NA,NA,qualitative,NA,NA,NA,floodimpact,NA,NA,Taiwan,Asia,B,micro-meso,a,Micro,NA,EE,River Restoration,River Restoration,years,c,NA,No cf,Treatment(NS),NA
Evaluating natural capital performance of urban development through system dynamics: A case study from London,Evaluating natural capital performance of urban development through system dynamics: A case study from London,10.1016/j.scitotenv.2022.153673,N,N,Blue-Green Infrastructure,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Treatment(NS/ modelled),N,NA,quantitative,NA,NA,quantitative,qualitative,quantitative,quantitative,NA,floodimpact,"water storage, groundwater, flowvelocity, runoff and erosion",some,England,Europe,A,micro-meso,a,Micro,Positive,AA,Blue-Green Infrastructure,Blue-Green Infrastructure,years,c,NA,No cf,Treatment(NS/ modelled),Unclear
Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network,10.1016/j.jnc.2016.09.003,Y,Y,Agro-ecological management,"species richness, species abundance, species composition, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance, species composition, ","species richness, species abundance, species composition, ",NA,NA,"species richness, species abundance, species composition, ","species richness, species composition",ecosystem/habitat diversity,Y - between and with and does link taxa,within and between,Y,Response (S),Y,some,quantitative,NA,NA,NA,NA,NA,quantitative,NA,NA,"water storage, runoff and erosion",NA,Argentina,South America,D,macro+,c,Macro,NA,JJ,Agro-ecological management,Agro-ecological management,>5 decades,f,repeated ,Spacio-temporal (post-post),Response (S),repeated 
"Heterogeneity of aquatic ecosystems in a developing city for construction of civilized freshwater ecology, China","Heterogeneity of aquatic ecosystems in a developing city for construction of civilized freshwater ecology, China",10.1002/eco.1990,Y,Y,River Restoration,NA,NA,"species richness, species abundance, species composition, ",NA,NA,NA,NA,NA,"species richness, species abundance, species composition, ",NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,Y - within FP with funcitonal links to specific taxa,within,Y,Response (S),Y,some,qualitative,NA,NA,NA,NA,quantitative,NA,quantitative,NA,water storage,some,China,Asia,B,macro+,c,Macro,Positive,EE,River Restoration,River Restoration,years,c,repeated ,Spatial cf,Response (S),repeated 
Rewilding cultural landscape potentially puts both avian diversity and endemism at risk: A Tibetan Plateau case study,Rewilding cultural landscape potentially puts both avian diversity and endemism at risk: A Tibetan Plateau case study,10.1016/j.biocon.2018.05.008,Y,Y,Grassland restoration,"species richness, species evenness, species abundance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ecosystem/habitat diversity,"Y - ideal example, mnapping detail of habitat heterogenity for birds",within,Y,Response (S),Y,Unclear,quantitative,NA,NA,NA,NA,NA,NA,NA,NA,water storage,NA,Taiwan,Asia,B,macro+,c,Macro,Negative,HH,Other Restoration,Grassland restoration,>1 decade,d,NA,Spatial cf,Response (S),Unclear
Mitigation of urbanization effects on aquatic ecosystems by synchronous ecological restoration,Mitigation of urbanization effects on aquatic ecosystems by synchronous ecological restoration,10.1016/j.watres.2021.117587,Y,Y,Constructed Wetlands & Lake Reconstruction,NA,NA,NA,NA,NA,species abundance,NA,"species richness, species evenness","species richness, species evenness",NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,Response (S),Y,some,NA,NA,qualitative,NA,NA,NA,NA,quantitative,NA,NA,NA,China,Asia,B,macro+,c,Macro,NA,GG,Constructed Wetlands & Lake Reconstruction,Constructed Wetlands & Lake Reconstruction,>1 decade,d,repeated ,Spatio-temporal (prepost),Response (S),repeated 
Spatial priorities for freshwater biodiversity conservation in light of catchment protection and connectivity in Europe,Spatial priorities for freshwater biodiversity conservation in light of catchment protection and connectivity in Europe,10.1371/journal.pone.0267801,Y,Y,Ecosystem Protection,NA,NA,species richness,NA,NA,NA,NA,species richness,NA,NA,NA,species richness,NA,NA,NA,NA,species richness,NA,N - mapping number of threated species to conservation zones and connectivity but not specific taxa,NA,NA,Response (S),Y,NA,NA,quantitative,NA,NA,NA,NA,NA,NA,NA,conveyance,NA,Across Europe,Europe,A,macro+,c,Macro,Unclear,II,Ecosystem Protection,Ecosystem Protection,z,a,NA,Spatial cf,Response (S),NA
Trajectories of ecosystem change in restored blanket peatlands,Trajectories of ecosystem change in restored blanket peatlands,10.1016/j.scitotenv.2019.02.095,Y,Y,Wetland Restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species evenness, species abundance",Unclear,NA,,NA,NA,Response (S),Y,some,NA,NA,NA,quantitative,quantitative,quantitative,quantitative,quantitative,NA,"groundwater, floodimpact, flowvelocity, runoff and erosion",some,England,Europe,A,macro+,c,Macro,Unclear,DD,Wetland Restoration,Wetland Restoration,>1 decade,d,repeated ,Temporal (pre-post),Response (S),repeated 
"Wetlands in China: Evolution, Carbon Sequestrations and Services, Threats, and Preservation/Restoration","Wetlands in China: Evolution, Carbon Sequestrations and Services, Threats, and Preservation/Restoration",https://doi.org/10.3390/w14071152,N,Y,Wetland Restoration,species richness,species richness,species richness,species richness,species richness,species richness,NA,species richness,species richness,species richness,NA,NA,NA,NA,species richness,species richness,"functional diversity, species composition, species richness, species abundance",NA,,NA,NA,Response(NS),Y,NA,quantitative,NA,quantitative,qualitative,qualitative,qualitative,qualitative,qualitative,"groundwater, floodimpact, flowvelocity, runoff and erosion","water storage, drainage",NA,China,Asia,B,macro+,c,Macro,NA,DD,Wetland Restoration,Wetland Restoration,>1 decade,d,NA,No cf,Response(NS),Unclear
Tradeoffs among ecosystem services in restored wetlands,Tradeoffs among ecosystem services in restored wetlands,10.1016/j.biocon.2015.07.006,Y,Y,Wetland Restoration,"species richness, species abundance, species composition, species evenness",NA,NA,"species richness, species abundance, species composition, ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance, species composition, species evenness",Unclear,NA,,NA,NA,Treatment(response(S)),Y,NA,quantitative,NA,NA,NA,quantitative,NA,NA,NA,NA,"water storage, floodimpact",some,USA,North America,C,macro+,c,Macro,Neutral,DD,Wetland Restoration,Wetland Restoration,>1 decade,d,NA,Spatial cf,Treatment(response(S)),NA
Vision-Based Decision-Making Methodology for Riparian Forest Restoration and Flood Protection Using Nature-Based Solutions,Vision-Based Decision-Making Methodology for Riparian Forest Restoration and Flood Protection Using Nature-Based Solutions,10.3390/su12083305,Y,Y,Floodplain restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,species composition,species composition,ecosystem/habitat diversity,Y ideal example - of baseline assessment - between and within and  vegetation types were matched with the habitat types (taxa),within and between,Y,Treatment(S),Y,NA,qualitative,qualitative,NA,quantitative,quantitative,quantitative,quantitative,quantitative,water storage and conveyance,"groundwater, floodimpact, flowvelocity, runoff and erosion",some,Greece,Europe,A,macro+,c,Macro,NA,CC,Floodplain restoration,Floodplain restoration,years,c,repeated ,Spatial cf,Treatment(S),repeated 
Adaptation to climate change and conservation of biodiversity using green infrastructure,Adaptation to climate change and conservation of biodiversity using green infrastructure,10.1002/rra.3576,Y,Y,Floodplain restoration,"species richness, single species abundance",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species abundance","species richness, species composition",Unclear,N - discusses but didn't quite measuree habitat diversity,NA,NA,Treatment(S),Y,NA,quantitative,NA,quantitative,quantitative,quantitative,quantitative,quantitative,NA,NA,"conveyance, drainage, groundwater, floodimpact, flowvelocity, runoff and erosion",all,Japan,Asia,B,macro+,c,Macro,NA,CC,Floodplain restoration,Floodplain restoration,>2 decades,e,repeated ,Spatial cf,Treatment(S),repeated 
Aquatic ecosystem functions of an isolated floodplain and their implications for flood retention and management,Aquatic ecosystem functions of an isolated floodplain and their implications for flood retention and management,10.1111/1365-2664.12029,N,Y,Floodplain restoration,NA,NA,NA,NA,NA,NA,Unclear,Unclear,Unclear,NA,NA,species richness,NA,NA,NA,species richness,species richness,ecosystem/habitat diversity,Y - have linked specific species (like rheophilic sp) to habitat heterogeneity through varyiugn connectivity,within,Y,Response (S),Y,NA,quantitative,quantitative,qualitative,NA,qualitative,NA,quantitative,NA,"drainage, floodimpact","water storage, conveyance, runoff and erosion",some,Austria,Europe,A,meso-macro,b,Meso,Positive,CC,Floodplain restoration,Floodplain restoration,>2 decades,e,repeated ,Spatial cf,Response (S),repeated 
Are natural floods accelerators for streambank vegetation development in floodplain restoration?,Are natural floods accelerators for streambank vegetation development in floodplain restoration?,10.1002/iroh.202102091,Y,Y,Floodplain restoration,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"species richness, species composition","species richness, species composition",ecosystem/habitat diversity,"within - ""all species were assigned either to one of the five floodplain habitats (permanent water, fluctuating water zone, reed bed and tall herb stands, softwood riparian forest and hardwood riparian forest) or no floodplain habitat (nontarget species).""",within and between,Y,Response (S),Y,NA,NA,quantitative,NA,NA,NA,NA,quantitative,NA,NA,conveyance,some,Germany,Europe,A,meso-macro,b,Meso,Unclear,CC,Floodplain restoration,Floodplain restoration,years,c,repeated ,Spatio-temporal (prepost),Response (S),repeated 
